Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,REPEATER,439.000000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,Voice repeater PE1PIP,,,,
2,QRV 1,145.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,VHF calling frequency,,,,
3,QRV 2,433.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,UHF calling frequency,,,,
4,OHM 1,455.805000,,0.000000,TSQL,94.8,94.8,023,NN,FM,5.00,,OHM2013 private channel 1,,,,
5,OHM 2,455.887500,,0.600000,TSQL,94.8,94.8,023,NN,FM,5.00,,OHM2013 private channel 2,,,,
6,OHM 3,455.925000,,0.000000,TSQL,94.8,94.8,023,NN,FM,5.00,,OHM2013 private channel 3,,,,
7,]V[,433.225000,,0.000000,TSQL,71.9,71.9,023,NN,FM,5.00,,By request of PA3DSC,,,,
10,1200 FSK,145.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,AX.25 1200 baud,,,,
11,2400 FSK,430.725000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,AX.25 2400-9600 baud,,,,
20,PI2ALK,430.375000,+,1.600000,,88.5,88.5,023,NN,FM,5.00,,Voice repeater Alkmaar JO22IP,,,,
21,PI2ASD,430.200000,+,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Amsterdam JO22KH,,,,
22,PI2ZAZ,430.325000,+,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Wormerveer JO22JL,,,,
23,PI2YDN,430.175000,+,1.600000,,88.5,88.5,023,NN,FM,5.00,,Voice repeater Beverwijk JO22HK,,,,
24,PI2HWD,430.225000,+,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Heerhugowaard JO22JO,,,,
25,PI2FLD,430.287500,+,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Almere JO22OI,,,,
26,PI2RDH,430.262500,+,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Den Helder JO22JW,,,,
27,PI3ALK,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Alkmaar JO22IP,,,,
28,PI3ZDM,145.662500,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Voice repeater Zaandam JO22JK,,,,
30,PMR1,446.006250,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,PMR2,446.018750,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,PMR3,446.031250,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,PMR4,446.043750,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,PMR5,446.056250,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,PMR6,446.068750,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,PMR7,446.081250,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,PMR8,446.093750,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
